epoch,time,train/box,train/cls,train/dfl,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box,val/cls,val/dfl,lr/pg0,lr/pg1,lr/pg2
74,69.2689,3.2846,5.50807,4.22421,0,0,0,0,3.52108,5.29581,4.17278,2.40891e-05,2.40891e-05,2.40891e-05
75,70.2585,2.83601,5.61388,4.23462,0,0,0,0,3.52201,5.29554,4.17387,2.35472e-05,2.35472e-05,2.35472e-05
76,71.298,3.10669,5.77324,4.21453,0,0,0,0,3.52034,5.29651,4.1744,2.29819e-05,2.29819e-05,2.29819e-05
77,72.1943,2.90474,5.79868,4.21677,0,0,0,0,3.52179,5.29342,4.1755,2.23929e-05,2.23929e-05,2.23929e-05
78,73.1155,3.81486,5.62275,4.18083,0,0,0,0,3.5214,5.29357,4.17789,2.17805e-05,2.17805e-05,2.17805e-05
79,74.0208,3.13952,5.75119,4.17681,0,0,0,0,3.52511,5.29389,4.17893,2.11444e-05,2.11444e-05,2.11444e-05
80,75.0381,3.2423,5.79582,4.20337,0,0,0,0,3.52638,5.29615,4.1797,2.04848e-05,2.04848e-05,2.04848e-05
81,75.9152,2.70521,5.7101,4.14732,0,0,0,0,3.52855,5.29705,4.18095,1.98016e-05,1.98016e-05,1.98016e-05
82,76.7783,3.00401,5.50145,4.18333,0,0,0,0,3.53033,5.29709,4.18216,1.90949e-05,1.90949e-05,1.90949e-05
83,77.6486,3.34874,5.79919,4.24713,0,0,0,0,3.53195,5.29932,4.18302,1.83646e-05,1.83646e-05,1.83646e-05
84,78.6214,3.47489,5.59435,4.15805,0,0,0,0,3.5337,5.30017,4.18406,1.76107e-05,1.76107e-05,1.76107e-05
85,79.4709,3.63349,5.65535,4.22773,0,0,0,0,3.533,5.29821,4.18445,1.68333e-05,1.68333e-05,1.68333e-05
86,80.3879,2.95708,5.63179,4.16109,0,0,0,0,3.53562,5.29962,4.18525,1.60323e-05,1.60323e-05,1.60323e-05
87,81.2633,3.41831,5.59606,4.20896,0,0,0,0,3.53618,5.30085,4.18605,1.52077e-05,1.52077e-05,1.52077e-05
88,82.1411,3.32037,5.62414,4.22234,0,0,0,0,3.54025,5.30157,4.18743,1.43596e-05,1.43596e-05,1.43596e-05
89,83.149,3.2902,5.61702,4.15425,0,0,0,0,3.5424,5.30171,4.18813,1.34879e-05,1.34879e-05,1.34879e-05
90,84.0442,2.39986,5.54341,4.2016,0,0,0,0,3.54442,5.2998,4.18959,1.25927e-05,1.25927e-05,1.25927e-05
91,85.4764,2.66836,5.56577,4.09066,0,0,0,0,3.54633,5.3007,4.19019,1.16739e-05,1.16739e-05,1.16739e-05
92,86.474,2.63865,5.68919,4.16452,0,0,0,0,3.54885,5.2979,4.19096,1.07315e-05,1.07315e-05,1.07315e-05
93,87.3558,2.53674,5.80105,4.18522,0,0,0,0,3.54923,5.30154,4.192,9.76562e-06,9.76562e-06,9.76562e-06
94,88.2243,2.55119,5.74491,4.0733,0,0,0,0,3.55133,5.30176,4.19276,8.77613e-06,8.77613e-06,8.77613e-06
95,89.0986,3.03024,5.63455,4.15023,0,0,0,0,3.55283,5.30146,4.19379,7.76308e-06,7.76308e-06,7.76308e-06
96,89.9741,3.15315,5.58523,4.23233,0,0,0,0,3.55352,5.30215,4.19468,6.72648e-06,6.72648e-06,6.72648e-06
97,90.9208,2.62943,5.6411,4.10505,0,0,0,0,3.55426,5.30159,4.19521,5.6663e-06,5.6663e-06,5.6663e-06
98,91.7789,2.60668,5.4802,4.13204,0,0,0,0,3.55334,5.30463,4.19555,4.58257e-06,4.58257e-06,4.58257e-06
99,92.6448,2.48897,5.63848,4.10976,0,0,0,0,3.55609,5.3037,4.19705,3.47528e-06,3.47528e-06,3.47528e-06
100,93.5392,2.878,5.55927,4.04221,0,0,0,0,3.55654,5.30275,4.19778,2.34442e-06,2.34442e-06,2.34442e-06
