epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,52710,1.24137,1.6655,1.26328,0.58694,0.4221,0.45442,0.31664,1.17726,1.3371,1.21006,0.007294,0.007294,0.007294
84,53357.2,1.23928,1.66152,1.26224,0.59113,0.42082,0.45528,0.31738,1.17646,1.33549,1.2095,0.007261,0.007261,0.007261
85,53980.5,1.24131,1.66284,1.26226,0.59322,0.41877,0.45549,0.31771,1.1758,1.33298,1.20861,0.007228,0.007228,0.007228
86,54628.7,1.24038,1.65846,1.26075,0.59607,0.41769,0.45536,0.31805,1.17509,1.33121,1.2077,0.007195,0.007195,0.007195
87,55260.5,1.24079,1.65873,1.26153,0.58817,0.42011,0.45578,0.31886,1.1746,1.3292,1.2075,0.007162,0.007162,0.007162
88,55901.7,1.23685,1.65713,1.26041,0.59333,0.42038,0.45728,0.31947,1.17445,1.32793,1.20732,0.007129,0.007129,0.007129
89,56538.8,1.23729,1.65265,1.25981,0.59317,0.41989,0.4577,0.32002,1.17494,1.32645,1.20723,0.007096,0.007096,0.007096
90,57189.4,1.23761,1.65053,1.25956,0.58759,0.42369,0.45787,0.31997,1.17478,1.32638,1.20703,0.007063,0.007063,0.007063
91,57840.6,1.23793,1.65313,1.26053,0.58721,0.42333,0.45812,0.32039,1.17421,1.32521,1.20677,0.00703,0.00703,0.00703
92,58479.8,1.23743,1.64983,1.25898,0.58213,0.42596,0.45766,0.32022,1.174,1.32389,1.20619,0.006997,0.006997,0.006997
93,59121.2,1.23741,1.64729,1.25872,0.56994,0.43172,0.45928,0.32125,1.17351,1.32194,1.20538,0.006964,0.006964,0.006964
94,59758.6,1.23501,1.64776,1.25779,0.58465,0.42547,0.45985,0.32184,1.1729,1.32095,1.2047,0.006931,0.006931,0.006931
95,60391.4,1.2354,1.64315,1.25776,0.58651,0.4282,0.46053,0.32201,1.17235,1.31991,1.20409,0.006898,0.006898,0.006898
96,61012.7,1.23429,1.64312,1.25668,0.58207,0.4305,0.46034,0.32211,1.17204,1.31899,1.20358,0.006865,0.006865,0.006865
97,61633.3,1.23395,1.64062,1.25639,0.59072,0.42923,0.46109,0.32288,1.17196,1.31757,1.20312,0.006832,0.006832,0.006832
98,62257.5,1.23367,1.63797,1.25721,0.5989,0.42392,0.46116,0.32304,1.172,1.31719,1.20321,0.006799,0.006799,0.006799
99,62880.9,1.23237,1.64101,1.25748,0.60212,0.42233,0.46157,0.32307,1.17164,1.3165,1.20297,0.006766,0.006766,0.006766
100,63514.7,1.2321,1.63612,1.25442,0.60459,0.42119,0.46145,0.32335,1.17083,1.31544,1.20226,0.006733,0.006733,0.006733
101,64146.5,1.23234,1.63426,1.25432,0.59663,0.42418,0.46194,0.3236,1.17027,1.31451,1.20168,0.0067,0.0067,0.0067
102,64778.7,1.23141,1.63312,1.25415,0.59896,0.42411,0.4613,0.32345,1.17008,1.31343,1.20161,0.006667,0.006667,0.006667
103,65400.3,1.23207,1.63356,1.25431,0.60381,0.42339,0.46144,0.32388,1.16963,1.3118,1.20135,0.006634,0.006634,0.006634
104,66033.9,1.22969,1.62766,1.25329,0.60726,0.42143,0.46243,0.3241,1.16956,1.31058,1.20127,0.006601,0.006601,0.006601
105,66654.3,1.2286,1.62879,1.25335,0.60444,0.42625,0.4633,0.32498,1.16844,1.30956,1.20027,0.006568,0.006568,0.006568
106,67281.7,1.22837,1.62789,1.25223,0.60031,0.42901,0.46338,0.32516,1.16766,1.30867,1.19937,0.006535,0.006535,0.006535
107,67902.3,1.22782,1.62734,1.25215,0.59814,0.42812,0.46336,0.32522,1.167,1.30799,1.19898,0.006502,0.006502,0.006502
108,68545.7,1.22684,1.62706,1.25124,0.59352,0.4302,0.46406,0.32558,1.16653,1.30737,1.19841,0.006469,0.006469,0.006469
109,69180.3,1.22686,1.62476,1.25141,0.59567,0.43182,0.46546,0.32669,1.16673,1.30572,1.19808,0.006436,0.006436,0.006436
110,69821.9,1.2281,1.62285,1.25051,0.5872,0.43665,0.46612,0.3272,1.16717,1.30431,1.19781,0.006403,0.006403,0.006403
111,70460,1.22503,1.6203,1.24952,0.58896,0.43424,0.46662,0.3277,1.16616,1.30289,1.19713,0.00637,0.00637,0.00637
112,71101.1,1.2267,1.62138,1.25059,0.58806,0.43543,0.46711,0.3282,1.16599,1.30233,1.1971,0.006337,0.006337,0.006337
113,71740.2,1.22554,1.61983,1.24918,0.58838,0.4338,0.46745,0.32811,1.16515,1.30172,1.19636,0.006304,0.006304,0.006304
114,72374.5,1.22475,1.62007,1.24888,0.59732,0.43087,0.46768,0.32777,1.16444,1.30062,1.19569,0.006271,0.006271,0.006271
115,73021.7,1.22439,1.61385,1.24763,0.60049,0.43089,0.46858,0.32835,1.16362,1.30023,1.19469,0.006238,0.006238,0.006238
116,73670.5,1.2242,1.61292,1.24704,0.60107,0.43325,0.46901,0.32858,1.16395,1.2993,1.19468,0.006205,0.006205,0.006205
117,74288.8,1.22411,1.61384,1.24758,0.59739,0.43343,0.46909,0.32856,1.16306,1.29872,1.19383,0.006172,0.006172,0.006172
118,74928.3,1.22436,1.61212,1.24753,0.59058,0.4355,0.46968,0.32895,1.16349,1.29777,1.19397,0.006139,0.006139,0.006139
119,75567.2,1.22287,1.61142,1.24793,0.59235,0.43502,0.47069,0.32961,1.16301,1.2965,1.19377,0.006106,0.006106,0.006106
120,76197.5,1.22197,1.60901,1.24626,0.59124,0.43622,0.47149,0.33034,1.16208,1.2941,1.19278,0.006073,0.006073,0.006073
121,76820.5,1.22038,1.60883,1.2462,0.59703,0.43466,0.47156,0.3309,1.16098,1.29268,1.19174,0.00604,0.00604,0.00604
122,77451.1,1.22235,1.60839,1.24649,0.59475,0.43496,0.47159,0.3311,1.16088,1.2923,1.19194,0.006007,0.006007,0.006007
123,78082.3,1.22016,1.60669,1.24438,0.59742,0.4361,0.47219,0.33168,1.16056,1.29165,1.19141,0.005974,0.005974,0.005974
124,78704.1,1.21921,1.60337,1.24385,0.60177,0.43168,0.47228,0.3319,1.15998,1.29035,1.1913,0.005941,0.005941,0.005941
125,79337.1,1.21924,1.60112,1.24449,0.60613,0.43252,0.47259,0.33187,1.15917,1.2896,1.19084,0.005908,0.005908,0.005908
126,79958.3,1.21723,1.60291,1.24413,0.60142,0.43525,0.47294,0.33213,1.15901,1.28941,1.19056,0.005875,0.005875,0.005875
127,80577.4,1.21915,1.60241,1.24381,0.59949,0.43634,0.47292,0.33216,1.15842,1.28978,1.19006,0.005842,0.005842,0.005842
